UID;eStateEval;duration;activeSample;mUraw;mUoffset;mU;mUconfidence;transCorrMean;AssayType;Notes;TempDataLog;TempCH3;TransHigh;SamTrans;SamFluor
1757960561;0;391.98004;1;0.13583611;3.3722527;-3.2364166;0.9929033;0.93986106;300;lab test Tartu;34.88;14.02;0.0;2.9048;0.1281
1757962140;0;392.03204;1;1.655264;3.3722527;-1.7169887;0.99784994;0.92751557;300;lab test Tartu;34.94;14.12;0.0;2.89815;0.12725
1757963718;0;392.02405;1;1.5173556;3.3722527;-1.8548971;0.99799746;0.92788756;300;lab test Tartu;34.94;14.33;0.0;2.9018;0.1265
1757965299;0;394.02008;1;1.8501257;3.3722527;-1.522127;0.99716914;0.92621183;300;lab test Tartu;34.94;14.32;0.0;2.9036;0.1259
1757966878;0;392.00696;1;1.5631659;3.3722527;-1.8090868;0.9982342;0.9283359;300;lab test Tartu;34.94;14.45;0.0;2.906;0.1254
1757968457;0;391.99506;1;1.4510007;3.3722527;-1.921252;0.99788034;0.928767;300;lab test Tartu;34.94;14.59;0.0;2.9043;0.1251
1757970038;0;391.98798;1;1.4853152;3.3722527;-1.8869375;0.9976111;0.92911005;300;lab test Tartu;34.94;14.6;0.0;2.9114;0.1247
1757971618;0;391.99603;1;1.5919322;3.3722527;-1.7803205;0.99788237;0.9293872;300;lab test Tartu;34.94;14.75;0.0;2.9079;0.1242
1757973201;0;391.98798;1;1.5316124;3.3722527;-1.8406403;0.9973925;0.9297659;300;lab test Tartu;34.88;14.82;0.0;2.9112;0.1238
1757974782;0;391.99;1;1.5543132;3.3722527;-1.8179395;0.9983414;0.9302119;300;lab test Tartu;34.88;14.88;0.0;2.9104;0.1235
1757976363;0;392.01794;1;1.574836;3.3722527;-1.7974167;0.9985764;0.9306274;300;lab test Tartu;34.88;15.05;0.0;2.9066;0.1235
1757977946;0;391.99097;1;1.5428774;3.3722527;-1.8293753;0.9984609;0.93056476;300;lab test Tartu;34.88;15.04;0.0;2.9041;0.1233
1757979526;0;391.99097;1;1.582787;3.3722527;-1.7894657;0.9982315;0.9308131;300;lab test Tartu;34.88;15.12;0.0;2.9101;0.1228
1757981107;0;391.992;1;1.6606821;3.3722527;-1.7115706;0.9981748;0.9307301;300;lab test Tartu;34.81;15.3;0.0;2.9073;0.1226
1758006218;0;392.01;1;2.0967798;3.3722527;-1.2754729;0.99843305;0.97567046;300;tartu llab;33.56;17.08;0.0;2.9183;0.122
1758007797;0;392.00098;1;2.1020868;3.3722527;-1.2701659;0.9986978;0.9762495;300;tartu llab;34.25;16.82;0.0;2.9184;0.1211
1758009378;0;391.99707;1;2.109254;3.3722527;-1.2629988;0.9986474;0.975852;300;tartu llab;34.56;16.71;0.0;2.916;0.1209
1758010958;0;391.992;1;2.2160943;3.3722527;-1.1561584;0.9987606;0.9761629;300;tartu llab;34.69;16.79;0.0;2.9163;0.1206
1758012539;0;391.99402;1;2.1561482;3.3722527;-1.2161045;0.998976;0.9762449;300;tartu llab;34.81;16.64;0.0;2.9147;0.1209
1758014120;0;392.02094;1;2.1393735;3.3722527;-1.2328792;0.9981871;0.9766069;300;tartu llab;34.88;16.68;0.0;2.9164;0.1207
1758015701;0;391.99097;1;2.2250278;3.3722527;-1.1472249;0.99726033;0.9764267;300;tartu llab;34.94;16.76;0.0;2.9149;0.1209
1758024738;0;391.96704;1;1.950489;3.3722527;-1.4217637;0.99880016;0.97605944;300;tartu lab 2;32.94;17.31;0.0;2.9243;0.1207
1758368214;0;391.997;0;4.3253565;0.0;4.3253565;0.9996767;0.9640777;300;1st Blank;27.88;31.91;0.0;0.0;0.0
1758369745;0;391.99402;1;7.762086;4.3253565;3.4367294;0.999387;0.8196729;300;1 sampling test;29.69;31.69;0.0;2.8491;0.5371
1758373819;0;391.99597;1;8.257903;4.3253565;3.9325466;0.999315;0.8164295;300;Tartu;32.31;30.08;0.0;2.842;0.5363
